gloss,gloss_id,video_id,video_path,signer_id,split,frame_start,frame_end,fps,bbox
cat,6,09526,.\videos\09526.mp4,36,train,1,-1,25,"[210, 18, 523, 414]"
cold,7,65377,.\videos\65377.mp4,99,test,1,-1,25,"[129, 16, 476, 370]"
cold,7,11638,.\videos\11638.mp4,12,test,1,-1,25,"[180, 57, 551, 400]"
cold,7,11622,.\videos\11622.mp4,36,train,1,-1,25,"[210, 16, 540, 414]"
cold,7,11623,.\videos\11623.mp4,52,train,1,-1,25,"[380, 16, 825, 480]"
cold,7,11624,.\videos\11624.mp4,6,train,1,-1,25,"[593, 70, 1468, 1080]"
cold,7,11625,.\videos\11625.mp4,39,val,1,-1,25,"[624, 133, 1621, 1072]"
cold,7,11627,.\videos\11627.mp4,4,train,1,-1,25,"[411, 31, 1128, 720]"
cold,7,11628,.\videos\11628.mp4,59,val,1,-1,25,"[116, 29, 513, 480]"
cold,7,11621,.\videos\11621.mp4,56,train,1,-1,25,"[59, 16, 263, 240]"
cold,7,11633,.\videos\11633.mp4,10,train,1,-1,25,"[88, 22, 216, 192]"
cold,7,11634,.\videos\11634.mp4,10,val,1,-1,25,"[65, 21, 233, 192]"
cold,7,11635,.\videos\11635.mp4,11,train,1,-1,25,"[79, 16, 221, 192]"
child,8,10450,.\videos\10450.mp4,11,train,1,-1,25,"[69, 17, 215, 192]"
child,8,65351,.\videos\65351.mp4,90,train,1,-1,25,"[130, 14, 465, 370]"
child,8,10443,.\videos\10443.mp4,2,train,1,-1,25,"[64, 0, 269, 240]"
child,8,10453,.\videos\10453.mp4,12,train,1,-1,25,"[130, 54, 550, 400]"
child,8,10444,.\videos\10444.mp4,32,train,1,-1,25,"[700, 66, 1636, 1073]"
child,8,10445,.\videos\10445.mp4,4,train,1,-1,25,"[616, 61, 1702, 1079]"
child,8,10446,.\videos\10446.mp4,32,test,1,-1,25,"[693, 70, 1631, 1073]"
child,8,10447,.\videos\10447.mp4,59,train,1,-1,25,"[50, 24, 520, 480]"
child,8,10449,.\videos\10449.mp4,10,val,1,-1,25,"[50, 17, 219, 192]"
come,9,69275,.\videos\69275.mp4,115,test,1,-1,25,"[140, 37, 943, 720]"
come,9,11884,.\videos\11884.mp4,12,train,1,-1,25,"[178, 59, 534, 400]"
come,9,11876,.\videos\11876.mp4,56,train,1,-1,25,"[63, 13, 261, 240]"
come,9,11877,.\videos\11877.mp4,31,train,1,-1,25,"[540, 64, 1480, 1080]"
come,9,11878,.\videos\11878.mp4,59,val,1,-1,25,"[84, 27, 590, 480]"
come,9,11882,.\videos\11882.mp4,11,train,1,-1,25,"[82, 14, 230, 192]"
